Date;SO2;NO2;O3;CO;PM10;PM2.5;Station code;Address;Latitude;Longitude
2017-03-05;0.004;0.039;0.029;0.729;62.958;51.375;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-03-06;0.004;0.018;0.034;0.475;32.75;25.167;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-03-07;0.004;0.017;0.036;0.429;29.167;18.917;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-03-08;0.004;0.026;0.029;0.554;37.958;17.583;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-03-09;0.005;0.031;0.029;0.575;39.917;18.458;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-03-10;0.005;0.04;0.025;0.604;40.0;25.333;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-03-11;0.007;0.058;0.02;0.8;54.458;39.667;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-03-12;0.007;0.058;0.027;0.904;81.917;65.583;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-03-13;0.004;0.025;0.037;0.596;54.208;40.833;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-03-14;0.004;0.023;0.035;0.521;41.042;26.167;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-03-15;0.004;0.038;0.023;0.579;34.458;21.167;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-03-16;0.005;0.053;0.023;0.746;56.208;42.417;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-03-17;0.005;0.057;0.024;0.821;67.625;53.25;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-03-18;0.007;0.064;0.026;0.838;67.167;54.25;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-03-19;0.005;0.047;0.031;0.754;67.625;55.5;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-03-20;0.006;0.074;0.007;0.996;86.833;68.125;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-03-21;0.011;0.033;0.031;1.15;89.083;66.375;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-03-22;0.004;0.032;0.035;0.517;42.167;27.0;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-03-23;0.005;0.046;0.029;0.712;64.083;41.833;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-03-24;0.004;0.043;0.024;0.612;49.958;33.083;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-03-25;0.005;0.044;0.025;0.625;60.0;44.25;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-03-26;0.005;0.037;0.03;0.575;55.75;43.083;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-03-27;0.004;0.036;0.033;0.925;68.667;55.958;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-03-28;0.005;0.05;0.019;0.888;79.875;63.125;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-03-29;0.004;0.036;0.037;0.646;56.542;41.833;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-03-30;0.004;0.05;0.027;0.7;60.542;42.583;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-03-31;0.004;0.042;0.022;0.646;46.542;32.0;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-04-01;0.003;0.028;0.033;0.483;20.083;13.708;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
